date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:53	20687/20687	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:46%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/news	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/news.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:54	20051/20051	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:46%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/galeri	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/galeri.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:54	24786/24786	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:46%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/pengaduan	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/pengaduan.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:54	23124/23124	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:46%20GMT	https://dev.bekasikab.go.id/telagaasih/beranda/dokumen	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/beranda/dokumen.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:54	2888/2888	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:47%20GMT	https://dev.bekasikab.go.id/telagaasih/assets/img/1.PNG	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/img/1.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:55	2888/2888	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2009:16:47%20GMT	https://dev.bekasikab.go.id/telagaasih/assets/img/logo.png	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/img/logo.html	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:55	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%223962-5e32ed9956280-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/aos/aos.js	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/aos/aos.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:55	59219/59219	---M-Z	200	added ('OK')	application/javascript	etag:%226161c4a3-3fa3%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/5.1.3/js/bootstrap.min.js	C:/Users/HP/Music/file%20diskom/project%20saya/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/5.1.3/js/bootstrap.min.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:55	55976/55976	---M-Z	200	added ('OK')	application/javascript	etag:%22daa8-5e32ed9f0f000-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/glightbox/js/glightbox.min.js	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/glightbox/js/glightbox.min.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:56	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:%228a75-5e32ed9f0f000-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/isotope-layout/isotope.pkgd.min.js	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/isotope-layout/isotope.pkgd.min.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:56	145446/145446	---M-Z	200	added ('OK')	application/javascript	etag:%2223826-5e32eda0f7480-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/swiper/swiper-bundle.min.js	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/swiper/swiper-bundle.min.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:56	21112/21112	---M-Z	200	added ('OK')	application/javascript	etag:%225278-5e32eda0f7480-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/waypoints/noframework.waypoints.js	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/waypoints/noframework.waypoints.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:57	6333/6333	---M-Z	200	added ('OK')	application/javascript	etag:%2218bd-5e32ed9862040-gzip%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/js/main.js	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/js/main.js	(from https://dev.bekasikab.go.id/telagaasih/)
16:16:57	90528/90528	---M--	200	added ('OK')	text/html	etag:%22161a0-5e32ed9e1adc0%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.html	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/bootstrap-icons.css)
16:16:58	120468/120468	---M--	200	added ('OK')	application/font-woff	etag:%221d694-5e32ed9e1adc0%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?856008caa5eb66df68595e734e59580d	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/bootstrap-icons/bootstrap-icons.css)
16:16:58	273536/273536	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242c80-5e32ed9e1adc0%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.eot	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.eot	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css)
16:16:58	93260/93260	---M--	200	added ('OK')	text/html	etag:%2216c4c-5e32ed9f0f000%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.woff2	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.html	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css)
16:16:58	273444/273444	---M--	200	added ('OK')	application/font-woff	etag:%2242c24-5e32ed9f0f000%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.woff	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.woff	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css)
16:16:58	273368/273368	---M--	200	added ('OK')	application/font-sfnt	etag:%2242bd8-5e32ed9f0f000%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.ttf	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.ttf	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css)
16:16:59	975365/975365	---M--	200	added ('OK')	image/svg+xml	etag:%22ee205-5e32ed9e1adc0%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxicons.svg?	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/boxicons/css/boxicons.min.css)
16:17:00	403228/403228	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226271c-5e32eda003240%22	https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/remixicon/remixicon.eot?t=1590207869815	C:/Users/HP/Music/file%20diskom/project%20saya/dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/remixicon/remixicondf6d.eot	(from https://dev.bekasikab.go.id/telagaasih/assets/arsha/vendor/remixicon/remixicon.css)
